iter	Logloss
0	0.6603641367
1	0.6303896458
2	0.6057216577
3	0.582451758
4	0.5629557635
5	0.549052902
6	0.5337754056
7	0.5200490959
8	0.5082898863
9	0.4997369337
10	0.4911553365
11	0.4831635275
12	0.4759094956
13	0.4698255048
14	0.464139679
15	0.4592948579
16	0.454253506
17	0.4500311251
18	0.4470703386
19	0.4434242266
20	0.4401667569
21	0.4370466435
22	0.4349609256
23	0.4329733027
24	0.4306950121
25	0.4284491306
26	0.4261415249
27	0.4244294776
28	0.4232365508
29	0.4214617305
30	0.4199085677
31	0.4188370568
32	0.4172608067
33	0.4160723325
34	0.4148818023
35	0.414023282
36	0.413251034
37	0.4121227611
38	0.4106940793
39	0.4097246438
40	0.4089137349
41	0.4083212916
42	0.4072899079
43	0.4066507767
44	0.4059846068
45	0.4051984755
46	0.4046351687
47	0.4040450614
48	0.4035323447
49	0.4030632528
50	0.4025127516
51	0.4020200931
52	0.4014927579
53	0.4008635607
54	0.400345528
55	0.3999015081
56	0.3994408399
57	0.3988873071
58	0.3983807096
59	0.3981352993
60	0.3978402788
61	0.3973423269
62	0.3969464098
63	0.3965197402
64	0.3962763467
65	0.3959183041
66	0.395644051
67	0.3953634073
68	0.3950898783
69	0.3947940168
70	0.3945013415
71	0.3942115811
72	0.3938793353
73	0.3937122983
74	0.3934177029
75	0.3932781
76	0.3929856955
77	0.3926886144
78	0.3923987685
79	0.3921546692
80	0.3919019173
81	0.3916969631
82	0.3915122047
83	0.3912792573
84	0.3909989925
85	0.3907756422
86	0.3905081309
87	0.3903035517
88	0.3901664524
89	0.3899613342
90	0.389733484
91	0.3894197803
92	0.3890811273
93	0.3889594621
94	0.3886669362
95	0.3883947281
96	0.3882756951
97	0.3881387691
98	0.3879014609
99	0.3876088816
100	0.3874034664
101	0.3871977705
102	0.3869865415
103	0.3867858935
104	0.3865713141
105	0.3862920542
106	0.3860604774
107	0.3858449249
108	0.385661958
109	0.3854493928
110	0.3853214256
111	0.3851301719
112	0.3849506614
113	0.384860525
114	0.3846067269
115	0.384279203
116	0.3841033017
117	0.3838217635
118	0.3836898162
119	0.3834690924
120	0.3832103201
121	0.3829449018
122	0.3827892872
123	0.3826735194
124	0.3824188608
125	0.3822631543
126	0.3820113468
127	0.3818369251
128	0.3816669323
129	0.381614116
130	0.3813954747
131	0.3811363575
132	0.3809592674
133	0.3808311929
134	0.3806000398
135	0.3803551761
136	0.3800356902
137	0.3798763002
138	0.3797343549
139	0.3795627994
140	0.379383691
141	0.3791902557
142	0.378999676
143	0.3788810461
144	0.3786926174
145	0.3784277018
146	0.3782973157
147	0.3780534205
148	0.3778064951
149	0.3776268914
150	0.3775442332
151	0.3774193751
152	0.3772859741
153	0.3771585374
154	0.3770596512
155	0.3769276002
156	0.3767291843
157	0.376567403
158	0.3763030775
159	0.3760378592
160	0.3759069651
161	0.3758049304
162	0.375643235
163	0.3754299129
164	0.3751639672
165	0.374919254
166	0.3746849142
167	0.3745401129
168	0.3743550616
169	0.3741166715
170	0.3738770137
171	0.3735217225
172	0.3733701429
173	0.3731075595
174	0.3728675118
175	0.372702484
176	0.3725805844
177	0.3724928129
178	0.3723158571
179	0.3720860075
180	0.3718768122
181	0.3718008684
182	0.3715426971
183	0.3712766799
184	0.3709349545
185	0.370744864
186	0.3704731299
187	0.3702780666
188	0.370087989
189	0.3699792
190	0.3697229446
191	0.369567508
192	0.3693002523
193	0.3691860554
194	0.3688788395
195	0.3686721183
196	0.3683918437
197	0.3682829461
198	0.3681566931
199	0.3679395331
200	0.3677344167
201	0.3675420304
202	0.3673834455
203	0.3670390606
204	0.3669004214
205	0.3667315292
206	0.3664123465
207	0.3661783686
208	0.3659416125
209	0.3656375203
210	0.3653302752
211	0.3650579987
212	0.3649122839
213	0.3647602618
214	0.3644674201
215	0.3642478479
216	0.3639597704
217	0.3637121954
218	0.363472148
219	0.3633612311
220	0.3631300376
221	0.3629077451
222	0.362750549
223	0.362448377
224	0.3621158934
225	0.3618440744
226	0.3616547333
227	0.3613312893
228	0.3610926722
229	0.3607848082
230	0.3605403782
231	0.3603631075
232	0.3602256449
233	0.3600239209
234	0.359637196
235	0.3595292958
236	0.359285548
237	0.3591342198
238	0.35894799
239	0.3586765901
240	0.3585081957
241	0.3582330313
242	0.3580146755
243	0.357916067
244	0.3576663272
245	0.3574190218
246	0.3572751852
247	0.3571299655
248	0.3569033951
249	0.3566317645
250	0.3563999354
251	0.3561744712
252	0.3560801792
253	0.355836116
254	0.3555882908
255	0.3554250981
256	0.3551810779
257	0.3549329567
258	0.3547274762
259	0.3545184316
260	0.3543769053
261	0.3542395884
262	0.353926086
263	0.3537582222
264	0.3535523767
265	0.3534095793
266	0.3531540027
267	0.3529619462
268	0.3526980751
269	0.3525683557
270	0.3524656497
271	0.3522914794
272	0.3521031225
273	0.3519459996
274	0.3516319068
275	0.3514612533
276	0.3512207956
277	0.3509353267
278	0.3507350171
279	0.3504908736
280	0.3502842182
281	0.3501628546
282	0.3499845716
283	0.3498181034
284	0.3495982009
285	0.3495387584
286	0.3493249573
287	0.3491787403
288	0.3489286964
289	0.3487551381
290	0.3485490846
291	0.3483661904
292	0.348205522
293	0.3480354001
294	0.347832745
295	0.347693982
296	0.3475282956
297	0.3474199167
298	0.3472367533
299	0.3470830854
